Seed,TeamName,SeedNum,Elo
W01,Duke,1,2007.537506756733
W02,Connecticut,2,1823.4786947531059
W03,Michigan St,3,1808.630216737795
W04,Kansas,4,1741.8399932172367
W05,St John's,5,1904.9400992670128
W06,Louisville,6,1755.7263314059855
W07,UCLA,7,1743.694146791196
W08,Ohio St,8,1729.466973514632
W09,TCU,9,1718.7942289277955
W10,UCF,10,1626.9935025266604
W11,South Florida,11,1794.3406630196305
W12,Northern Iowa,12,1699.1009492616301
W13,Cal Baptist,13,1671.3448338382802
W14,N Dakota St,14,1663.9038853592126
W15,Furman,15,1582.272266917101
W16,Siena,16,1621.3712327189326
X01,Florida,1,1903.5847044210796
X02,Houston,2,1875.9963832760548
X03,Illinois,3,1821.5094911000601
X04,Nebraska,4,1738.368310877487
X05,Vanderbilt,5,1816.7265265497456
X06,North Carolina,6,1748.2481971482707
X07,St Mary's CA,7,1834.9835152974185
X08,Clemson,8,1712.5895437418878
X09,Iowa,9,1673.8046228202238
X10,Texas A&M,10,1664.1912814173206
X11,VCU,11,1822.1557671633723
X12,McNeese St,12,1766.9777821970958
X13,Troy,13,1607.3094639058666
X14,Penn,14,1615.6243634004238
X15,Idaho,15,1545.6652993435373
X16a,Lehigh,16,1470.1927890103343
X16b,Prairie View,16,1454.2013896629362
Y01,Michigan,1,1963.8671705320312
Y02,Iowa St,2,1820.343867480342
Y03,Virginia,3,1851.7579877318046
Y04,Alabama,4,1786.1445332116693
Y05,Texas Tech,5,1737.2857583167745
Y06,Tennessee,6,1744.4261501011663
Y07,Kentucky,7,1706.1520999779389
Y08,Georgia,8,1696.3009635437181
Y09,St Louis,9,1733.2529060963275
Y10,Santa Clara,10,1770.865563930075
Y11a,Miami OH,11,1766.2926096255712
Y11b,SMU,11,1627.2377057940234
Y12,Akron,12,1797.2743230188587
Y13,Hofstra,13,1702.7010956427791
Y14,Wright St,14,1606.497490359473
Y15,Tennessee St,15,1639.6857099782828
Y16a,Howard,16,1577.2280012257127
Y16b,UMBC,16,1628.1306858501957
Z01,Arizona,1,1977.4518816091006
Z02,Purdue,2,1862.0601575500636
Z03,Gonzaga,3,1878.6909341711191
Z04,Arkansas,4,1843.2351139043194
Z05,Wisconsin,5,1772.77499131869
Z06,BYU,6,1707.246671890286
Z07,Miami FL,7,1740.9688806052297
Z08,Villanova,8,1709.532611920246
Z09,Utah St,9,1784.856534215347
Z10,Missouri,10,1620.4273047459826
Z11a,NC State,11,1659.9170546604707
Z11b,Texas,11,1625.1414262125838
Z12,High Point,12,1745.8383273161455
Z13,Hawaii,13,1597.6558556943858
Z14,Kennesaw,14,1580.9290988834803
Z15,Queens NC,15,1578.7080049305764
Z16,LIU Brooklyn,16,1574.9349668213522
